枥	櫪
枧	梘
枨	棖
枫	楓
枭	梟
柠	檸
查	査
柽	檉
栅	柵
标	標
栈	桟
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
样	様
栾	欒
桌	卓
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
梼	檮
梿	槤
检	検
棋	碁
椠	槧
椤	欏
